model,fold,train_size,valid_size,accuracy,macro_f1,weighted_f1,fit_seconds,predict_seconds,predict_ms_per_sample
nb,1,2039,510,0.8862745098039215,0.8801423045032248,0.8858995765350524,0.07856476597953588,0.014824667945504189,0.0290679763637337
nb,2,2039,510,0.8705882352941177,0.8648350101321501,0.8697556340855898,0.07739335403311998,0.015016184072010219,0.029443498180412194
nb,3,2039,510,0.8960784313725491,0.8920775472194545,0.8956315347849757,0.07640195894055068,0.014757608063519001,0.028936486399056865
nb,4,2039,510,0.8705882352941177,0.8683779532595194,0.8698333134905039,0.08202672400511801,0.016890328959561884,0.033118292077572324
nb,5,2040,509,0.9076620825147348,0.9074706668268444,0.907608915316151,0.07182073895819485,0.011498693958856165,0.022590754339599537
logistic_regression,1,2039,510,0.9058823529411765,0.900721595501763,0.9059235301948128,1.2409414140274748,0.020252527901902795,0.039710839023338815
logistic_regression,2,2039,510,0.907843137254902,0.9065884267710691,0.9079551539533297,1.2854825799586251,0.041002900106832385,0.08039784334673016
logistic_regression,3,2039,510,0.9294117647058824,0.9267712869750289,0.9291535666045077,1.934634311008267,0.05249013798311353,0.10292183918257555
logistic_regression,4,2039,510,0.903921568627451,0.9043624094099553,0.9039346792391941,1.1962056099437177,0.0337552260607481,0.06618671776617274
logistic_regression,5,2040,509,0.9233791748526523,0.9257059664395089,0.9235006872922488,2.277717266930267,0.08400741696823388,0.16504404119495852
linear_svm,1,2039,510,0.9294117647058824,0.9278257561873176,0.9296816684825454,0.08990404906217009,0.011564222979359329,0.022674947018351623
linear_svm,2,2039,510,0.9176470588235294,0.9152940755691535,0.9177195050257219,0.11145186296198517,0.014515095041133463,0.028460970668889144
linear_svm,3,2039,510,0.9490196078431372,0.9476412694646417,0.948882607421618,0.10143815004266798,0.014668692951090634,0.02876214304135418
linear_svm,4,2039,510,0.8980392156862745,0.8997871886955398,0.8982649168538309,0.0940218879841268,0.011436861008405685,0.02242521766354056
linear_svm,5,2040,509,0.9469548133595285,0.9498496153255107,0.9468893540474165,0.08112250303383917,0.0111820810707286,0.021968725089840078
